sid,id,Original Item Name,Preprocessed Item Name,category1,category2,cat1|cat2,,,,,,,,
0,83438,小熊餅乾草莓蛋糕風味48g,小熊餅乾草莓蛋糕風味g,食品飲料,蛋糕甜點,食品飲料|蛋糕甜點,,,,,,,,
1,41824,西村嬰兒野菜蛋酥90g,西村嬰兒野菜蛋酥g,食品飲料,進口零食,食品飲料|進口零食,,,,,,,,
2,43227,熊野油脂PharmaACT 超酷涼沐,熊野油脂PharmaACT超酷涼沐,個人清潔,身體清潔,個人清潔|身體清潔,,,,,,,,
3,87010,時尚大師9色眼影盤-冷淡沙漠,時尚大師色眼影盤冷淡沙漠,彩妝保養,開架彩妝品牌,彩妝保養|開架彩妝品牌,,,,,,,,
4,37802,保濕全能修護組(,保濕全能修護組,彩妝保養,開架保養品牌,彩妝保養|開架保養品牌,,,,,,,I9,J9
5,770,SIMON COLL 85% 黑巧克,SIMONCOLL黑巧克,食品飲料,進口零食,食品飲料|進口零食,,,,,,,,
6,40520,奢華訂製鏡光水唇釉-502,奢華訂製鏡光水唇釉,彩妝保養,開架彩妝品牌,彩妝保養|開架彩妝品牌,,,,,,,,
7,96056,僑俐,僑俐,餐廚用品,碗盤餐具,餐廚用品|碗盤餐具,,鞋包箱,NIKE,,,,,
8,69279,PAPILLON法國洛克福乾酪1.3,PAPILLON法國洛克福乾酪,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
9,102922,香奈兒之水系列,香奈兒之水系列,彩妝保養,香水,彩妝保養|香水,,,,,,,,
10,101213,盒裝8入(南瓜),盒裝入,生鮮,蔬菜水果,生鮮|蔬菜水果,,,,,,,,
11,14228,貴妃蛋10入,貴妃蛋入,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
12,19862,迪奧 J？ADO,迪奧J？ADO,彩妝保養,香水,彩妝保養|香水,,,,,,,,
13,67663,樺達125元,樺達元,食品飲料,茶葉/茶包,食品飲料|茶葉/茶包,,,,,,,,
14,22737,益大圓嫩豆腐320g,益大圓嫩豆腐g,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
15,17640,初鹿牧場 牛奶口味小饅頭 150克,初鹿牧場牛奶口味小饅頭克,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
16,84957,(A)哇沙米鮭魚飯糰,哇沙米鮭魚飯糰,食品飲料,米/麵/泡麵,食品飲料|米/麵/泡麵,,,,,,,,
17,25626,ＦＭＣ每日６纖果,ＦＭＣ每日６纖果,食品飲料,休閒零食,食品飲料|休閒零食,,,,,,,,
18,92218,金盞花植物精華化妝水 170週年限,金盞花植物精華化妝水週年限,彩妝保養,專櫃保養品牌,彩妝保養|專櫃保養品牌,,,,,,,,
19,102543,和田順和田沖繩黑糖燉奶912ml,和田順和田沖繩黑糖燉奶ml,食品飲料,沖調/奶粉,食品飲料|沖調/奶粉,,,,,,,,
20,6737,柿原雞蛋蛋糕,柿原雞蛋蛋糕,食品飲料,蛋糕甜點,食品飲料|蛋糕甜點,,,,,,,,
21,21576,信明綿白砂糖 450g,信明綿白砂糖g,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
22,21532,安佳 鮮奶油,安佳鮮奶油,食品飲料,罐頭/食材/烘焙,食品飲料|罐頭/食材/烘焙,,,,,,,,
